17,6,9,30.2,0.4,1,1,15,71.19317,56.19317,7.933672,7.066328
53000,879,9,1210,3.5,1,0,76,1159.551,1083.551,7.933672,68.066328
45,25,5,21,0,1,0,21,79.42264,58.42264,8.375375,12.624625
3,7,6,31.5,0,1,0,12,100.95955,88.95955,10.903753,1.096247
111,47,4,28.2,0.2,1,0,25,55.908527,30.908527,13.161645,11.838355
8,2,5,4.5,1.5,1,2,2,65.05406,63.05406,13.4510765,11.4510765
308,217,9,80,0.5,1,0,20,89.26721,69.26721,15.825448,4.174552
24,19,11,103.6,0.6,1,0,18,88.11791,70.11791,19.583294,1.583294
391,223,7,563.5,2.5,1,0,30,9.689083,20.310917,23.107576,6.892424
391,223,8,563.5,2.5,1,0,22,13.131561,8.868439,31.187504,9.187504
102,8,5,59.66666667,0.666666667,5,0,57,78.68059,21.68059,35.408714,21.591286
10,5,8,21.33333333,0.333333333,3,1,46,78.417595,32.417595,44.639137,1.360863
96,95,5,0,0,2,1,116,38.944283,77.055717,45.40159,70.59841
86,1,7,5.5,0,1,0,5,77.20496,72.20496,48.271736,43.271736
181,19,3,114.4,1.2,1,2,82,175.17374,93.17374,52.494995,29.505005
96,243,4,18.75,0,1,0,25,117.45131,92.45131,55.469482,30.469482
35,18,7,0,0,10,1,30,85.480804,55.480804,59.67546,29.67546
104,64,16,11,0,18,0,6,111.81419,105.81419,59.67546,53.67546
168,1,7,0,0,4,0,93,90.75108,2.24892,63.639343,29.360657
11,12,5,32.5,0,1,0,62,99.335,37.335,65.31024,3.31024
260,354,6,23.5,0.333333333,1,0,70,115.30994,45.30994,78.31116,8.31116
1,8,6,80,0,1,0,80,81.24079,1.24079,80.941826,0.941826
8,1,7,81,0,1,0,80,78.406654,1.593346,84.05565,4.05565
176,278,5,0,0,2,0,85,91.56157,6.56157,86.03184,1.03184
8,1,5,94,1,1,2,104,94.21991,9.78009,87.97237,16.02763
191,143,3,67.5,0.75,1,1,96,105.349464,9.349464,98.45712,2.45712
